Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
AND45HAN,XHM011607/002,,7/4/16 0:00,"Xuất mẫu cho khác hàng theo phiếu yêu cầu duyệt xuất xưởng ngày 4/7/2016, cước vận chuyển khách hàng chịu",LTSAM00189WI,Mẫu New Jubi Chair_ 4 chỉ đen,1.00,0.00,,,,,,,,,,,,
,,,,,LTSAM00190WI,Mẫu New Jubi Chair_ 4 chỉ nâu,1.00,0.00,,,,,,,,,,,,
,,,,"Xuất mẫu cho khác hàng theo phiếu yêu cầu duyệt xuất xưởng ngày 4/7/2016, cước vận chuyển khách hàng chịu Total",,,2.00,0.00,,,,,,,,,,,,
,XHM011608/006,,8/29/16 0:00,Xuất duyệt mẫu đối chứng theo phiếu yêu cầu xuất xưởng ngày 29/8/2016,LTCBIR1S1FPPL,Pallet Birkemose Chair_FE_KXS,1.00,0.00,,,,,,,,,,,,
,,,,,LTCBOR1S1FPPL,Pallet_Bork Chair_FE_KXS,1.00,0.00,,,,,,,,,,,,
,,,,,LTCCAV1A1FPPL,Pallet_Cavallino_AL_KXS,1.00,0.00,,,,,,,,,,,,
,,,,Xuất duyệt mẫu đối chứng theo phiếu yêu cầu xuất xưởng ngày 29/8/2016 Total,,,3.00,0.00,,,,,,,,,,,,
AND45HAN Total,,,,,,,5.00,0.00,,,,,,,,,,,,
AQU49GAR,XBH011702/058,,2/21/17 0:00,Xuất bán hàng mẫu- LSX mẫu 103- HGS17317785,LTSAM00354WI,Mẫu Berga Set,6.00,600.00,,,,,,,,,,,,
,,,,,LTSAM00355WI,Mẫu Alessa Dining Table,6.00,660.00,,,,,,,,,,,,
,,,,,LTSAM00356WI,Mẫu Kairo Lounge Set,6.00,"1,170.00",,,,,,,,,,,,
,,,,,LTSAM00357WI,Mẫu Kairo Stacking Chair,12.00,154.80,,,,,,,,,,,,
,,,,,LTSAM00358WI,Mẫu Tunis Dining Chair,18.00,358.20,,,,,,,,,,,,
,,,,,LTSAM00359WI,Mẫu Mila Move Chair,12.00,420.00,,,,,,,,,,,,
,,,,Xuất bán hàng mẫu- LSX mẫu 103- HGS17317785 Total,,,60.00,"3,363.00",,,,,,,,,,,,
AQU49LCW,XBH011606/001,,6/1/16 0:00,Xuất bán T06/001-LT12316LC ngày ETD 4/6/2016,LTCGUD1F114SP1,Gudhjem Chair_F114,900.00,"11,700.00",,,,,,,,,,,,
,,,,,LTCGUD1F210SPA1,Gudhjem Chair_F210,576.00,"7,488.00",,,,,,,,,,,,
,,,,Xuất bán T06/001-LT12316LC ngày ETD 4/6/2016 Total,,,"1,476.00","19,188.00",,,,,,,,,,,,
,XBH011612/017,,12/8/16 0:00,"Xuất bán T12/017 - OPTISCHWENI-CHWEINFURT - LSX 42(PI:LT14216LC,LT14616LC,LT15316LC)",LTBDIA1F268SCA1,Diana Lounger_F268,8.00,640.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCA1,Diana Chair_F268,80.00,"2,312.00",,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,16.00,652.00,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,16.00,652.00,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,16.00,652.00,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,180.00,"2,898.00",,,,,,,,,,,,
,,,,,LTCVIS1F310SP1,Visby chair F310,56.00,666.40,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,16.00,652.00,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,11.00,528.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,12.00,888.00,,,,,,,,,,,,
,,,,"Xuất bán T12/017 - OPTISCHWENI-CHWEINFURT - LSX 42(PI:LT14216LC,LT14616LC,LT15316LC) Total",,,411.00,"10,540.40",,,,,,,,,,,,
,XBH011612/018,,12/8/16 0:00,"Xuất bán T12/018 - BUSWIE-WIESMOOR - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC)",LTCDIA1F268SCA1,Diana Chair_F268,18.00,520.20,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,48.00,"1,968.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,32.00,710.40,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,60.00,966.00,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,6.00,93.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,6.00,444.00,,,,,,,,,,,,
,,,,"Xuất bán T12/018 - BUSWIE-WIESMOOR - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC) Total",,,170.00,"4,701.60",,,,,,,,,,,,
,XBH011612/019,,12/8/16 0:00,"Xuất bán T12/019 - BRAUSIN-SINGEN - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC)",LTBDIA1F268SCA1,Diana Lounger_F268,4.00,320.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCA1,Diana Chair_F268,20.00,578.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,34.00,"1,394.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,96.00,"2,131.20",,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,210.00,"3,381.00",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,140.00,"1,722.00",,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,11.00,170.50,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,22.00,"1,056.00",,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,16.00,"1,184.00",,,,,,,,,,,,
,,,,"Xuất bán T12/019 - BRAUSIN-SINGEN - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC) Total",,,553.00,"11,936.70",,,,,,,,,,,,
,XBH011612/020,,12/8/16 0:00,"Xuất bán T12/020 - HAINNENN-BADNENNDORF - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC)",LTCDIA1F268SCA1,Diana Chair_F268,26.00,751.40,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,120.00,"4,920.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,32.00,710.40,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,60.00,966.00,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,11.00,170.50,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,16.00,768.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,11.00,814.00,,,,,,,,,,,,
,,,,"Xuất bán T12/020 - HAINNENN-BADNENNDORF - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC) Total",,,288.00,"9,589.30",,,,,,,,,,,,
